영화 코드,영화명(국문),영화명(영문),제작연도,개봉일,영화유형,제작상태,제작국가,영화장르,대표 제작국가,대표 장르,영화감독,제작사 코드,제작사명
20218527,이공삼칠,On My Way Home,2022,20220608,장편,개봉,한국,"가족,드라마",한국,가족,[{'peopleNm': '모홍진'}],정보 없음,정보 없음
20224882,마녀(魔女) Part2. The Other One,The Witch: Part 2. The Other One,2021,20220615,장편,개봉,한국,액션,한국,액션,[{'peopleNm': '박훈정'}],정보 없음,정보 없음
20211382,오마주,Hommage,2021,20220526,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '신수원'}],정보 없음,정보 없음
20211872,감동주의보,Move to Mind,2021,20220622,장편,개봉,한국,"멜로/로맨스,코미디",한국,멜로/로맨스,[{'peopleNm': '김우석'}],정보 없음,정보 없음
20208051,신황제를 위하여,For The New Emperor,2020,20221219,장편,개봉,한국,액션,한국,액션,[{'peopleNm': '이수성'}],정보 없음,정보 없음
20200741,대가리3-일진후배들,Dominator 3 - Junior Bullies,2020,20220624,장편,개봉,한국,"액션,드라마",한국,액션,[{'peopleNm': '이수성'}],정보 없음,정보 없음
20191223,대가리2-학교무림,Dominator 2 - School Martial Art Master,2019,20220624,장편,개봉,한국,액션,한국,액션,[{'peopleNm': '이수성'}],정보 없음,정보 없음
20194425,대가리,Dominator,2019,20220624,장편,개봉,한국,액션,한국,액션,[{'peopleNm': '이수성'}],정보 없음,정보 없음
20224077,하로동선,Harodongsun,2022,20220330,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '김시우'}],정보 없음,정보 없음
20224572,아부쟁이,Flatterer,2020,20220616,장편,개봉,한국,"액션,코미디,드라마",한국,액션,[{'peopleNm': '황승재'}],정보 없음,정보 없음
20226799,부적: 남의 운을 빼앗는 자,Talisman,2022,20220907,장편,개봉,한국,"액션,드라마",한국,액션,[{'peopleNm': '김세성'}],정보 없음,정보 없음
20211570,우수,Usu,2021,20221124,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '오세현'}],정보 없음,정보 없음
20225968,통영에서의 하루,A Day in Tongyeong,2022,20221124,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '한경탁'}],정보 없음,정보 없음
20228062,살인청부업자,HIT MAN,2022,20221103,장편,개봉,한국,"범죄,스릴러",한국,범죄,[{'peopleNm': '강태호'}],정보 없음,정보 없음
20223740,크리스마스 캐럴,christmas carol,2022,20221207,장편,개봉,한국,"드라마,액션",한국,드라마,[{'peopleNm': '김성수'}],정보 없음,정보 없음
20228612,팬픽에서 연애까지,From Fanfic to Love,2022,20221222,장편,개봉,한국,"멜로/로맨스,코미디",한국,멜로/로맨스,[{'peopleNm': '강윤성'}],정보 없음,정보 없음
20227073,신 에반게리온 극장판,Evangelion: 3.0＋1.01 Thrice Upon a Time,2021,20221005,장편,개봉,일본,애니메이션,일본,애니메이션,[{'peopleNm': '안노 히데아키'}],정보 없음,정보 없음
20227810,에반게리온 신극장판: Q,Evangelion: 3.33 You Can (Not) Redo.,2012,20221014,장편,개봉,일본,애니메이션,일본,애니메이션,"[{'peopleNm': '안노 히데아키'}, {'peopleNm': '츠루마키 카즈야'}, {'peopleNm': '마사유키'}, {'peopleNm': '마에다 마히로'}]",정보 없음,정보 없음
20227788,에반게리온 신극장판: 서,Evangelion: 1.11 You are (Not) Alone.,2007,20221014,장편,개봉,일본,애니메이션,일본,애니메이션,"[{'peopleNm': '안노 히데아키'}, {'peopleNm': '츠루마키 카즈야'}, {'peopleNm': '마사유키'}]",정보 없음,정보 없음
